n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
0.0,1.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,0.0,49.0,0.0
1.0,11.0,0.0,15.0,49.0,0.0
2.0,11.0,0.0,19.9,49.0,0.0
2.0,11.0,0.0,19.9,49.0,0.0
2.0,10.0,0.0,19.9,49.0,0.0
2.0,10.0,0.0,19.9,49.0,0.0
2.0,10.0,0.0,19.9,49.0,0.0
2.0,10.0,0.0,19.9,49.0,0.0
3.0,9.0,0.0,473.9,49.0,0.0
4.0,9.0,0.0,473.9,49.0,0.0
4.0,9.0,0.0,473.9,49.0,0.0
4.0,10.0,0.0,473.9,669.0,0.0
5.0,10.0,0.0,599.9,669.0,0.0
5.0,10.0,0.0,599.9,669.0,0.0
5.0,9.0,0.0,599.9,669.0,0.0
5.0,7.0,0.0,599.9,669.0,0.0
5.0,7.0,0.0,599.9,669.0,0.0
5.0,8.0,0.0,599.9,766.0,0.0
5.0,8.0,0.0,599.9,766.0,0.0
5.0,9.0,0.0,599.9,973.0,0.0
5.0,9.0,0.0,599.9,973.0,0.0
5.0,9.0,0.0,599.9,973.0,0.0
5.0,10.0,0.0,599.9,992.0,0.0
6.0,10.0,0.0,628.9,992.0,0.0
6.0,9.0,0.0,502.9,973.0,0.0
6.0,10.0,0.0,502.9,998.0,0.0
7.0,10.0,0.0,527.9,998.0,0.0
7.0,11.0,0.0,527.9,998.0,0.0
7.0,11.0,0.0,527.9,998.0,0.0
7.0,11.0,0.0,527.9,1072.0,0.0
7.0,12.0,0.0,527.9,1096.0,0.0
8.0,12.0,0.0,527.9,1096.0,0.0
8.0,12.0,0.0,527.9,1096.0,0.0
8.0,12.0,0.0,527.9,1096.0,0.0
8.0,12.0,0.0,527.9,1096.0,0.0
7.0,12.0,0.0,527.9,1096.0,0.0
7.0,12.0,0.0,527.9,1028.0,0.0
6.0,13.0,0.0,502.9,1043.0,0.0
6.0,13.0,0.0,502.9,1043.0,0.0
6.0,13.0,0.0,502.9,1043.0,0.0
6.0,14.0,0.0,502.9,1089.0,0.0
7.0,14.0,0.0,542.9,1089.0,0.0
8.0,14.0,0.0,566.9,1089.0,0.0
9.0,13.0,0.0,608.9,1074.0,0.0
10.0,13.0,0.0,624.9,1074.0,0.0
10.0,12.0,0.0,661.9,1068.0,0.0
11.0,12.0,0.0,751.9,1068.0,0.0
12.0,12.0,0.0,760.9,1068.0,0.0
12.0,13.0,0.0,760.9,1192.0,0.0
13.0,13.0,0.0,805.9,1192.0,0.0
14.0,13.0,0.0,845.9,1192.0,0.0
15.0,13.0,0.0,900.9,1192.0,0.0
16.0,13.0,0.0,900.9,1192.0,0.0
17.0,13.0,0.0,965.9,1192.0,0.0
17.0,14.0,0.0,965.9,1291.0,0.0
17.0,15.0,0.0,965.9,1391.0,0.0
17.0,16.0,0.0,965.9,1591.0,0.0
18.0,16.0,0.0,1013.9,1591.0,0.0
18.0,16.0,0.0,1013.9,1591.0,0.0
19.0,16.0,0.0,1041.9,1591.0,0.0
20.0,16.0,0.0,1092.9,1591.0,0.0
20.0,17.0,0.0,1092.9,1611.0,0.0
20.0,18.0,0.0,1092.9,1779.0,0.0
21.0,18.0,0.0,1117.9,1779.0,0.0
22.0,18.0,0.0,1156.9,1779.0,0.0
22.0,19.0,0.0,1156.9,1787.0,0.0
22.0,19.0,0.0,1156.9,1787.0,0.0
22.0,20.0,0.0,1156.9,1829.0,0.0
22.0,21.0,0.0,1156.9,1858.0,0.0
22.0,22.0,0.0,1156.9,1988.0,0.0
22.0,23.0,0.0,1156.9,1988.0,0.0
22.0,24.0,0.0,1156.9,2002.0,0.0
22.0,25.0,0.0,1156.9,2009.5,0.0
22.0,26.0,0.0,1156.9,2350.5,0.0
22.0,26.0,0.0,1156.9,2705.5,0.0
22.0,27.0,0.0,1156.9,2800.5,0.0
22.0,28.0,0.0,1156.9,2997.5,0.0
22.0,29.0,0.0,1156.9,2997.5,0.0
23.0,29.0,0.0,1188.9,2997.5,0.0
23.0,30.0,0.0,1188.9,3019.5,0.0
23.0,31.0,0.0,1188.9,3215.5,0.0
23.0,32.0,0.0,1188.9,3831.5,0.0
24.0,32.0,0.0,1283.9,3831.5,0.0
24.0,33.0,0.0,1283.9,3847.5,0.0
25.0,33.0,0.0,1533.9,3847.5,0.0
26.0,33.0,0.0,1561.9,3847.5,0.0
26.0,34.0,0.0,1561.9,3902.5,0.0
27.0,34.0,0.0,1601.9,3902.5,0.0
27.0,35.0,0.0,1601.9,4017.5,0.0
28.0,35.0,0.0,1661.9,4017.5,0.0
28.0,36.0,0.0,1661.9,4297.5,0.0
28.0,37.0,0.0,1661.9,4315.5,0.0
29.0,37.0,0.0,1807.9,4315.5,0.0
29.0,38.0,0.0,1807.9,4519.5,0.0
29.0,39.0,0.0,1807.9,4709.5,0.0
28.0,40.0,0.0,1791.9,5080.5,0.0
29.0,40.0,0.0,1807.9,5080.5,0.0
29.0,40.0,0.0,1807.9,5080.5,0.0
29.0,41.0,0.0,1807.9,5220.5,0.0
30.0,41.0,0.0,1866.9,5220.5,0.0
30.0,42.0,0.0,1866.9,5313.5,0.0
30.0,43.0,0.0,1866.9,5342.5,0.0
30.0,44.0,0.0,1866.9,5411.5,0.0
30.0,44.0,0.0,1866.9,5411.5,0.0
30.0,45.0,0.0,1866.9,5511.5,0.0
30.0,46.0,0.0,1866.9,5711.5,0.0
30.0,47.0,0.0,1866.9,6261.5,0.0
30.0,48.0,0.0,1866.9,6261.5,0.0
30.0,49.0,0.0,1866.9,6328.5,0.0
30.0,50.0,0.0,1866.9,6517.5,0.0
30.0,51.0,0.0,1866.9,6541.5,0.0
31.0,51.0,0.0,2161.9,6541.5,0.0
31.0,52.0,0.0,2161.9,6552.5,0.0
32.0,52.0,0.0,2212.9,6552.5,0.0
33.0,52.0,0.0,2280.9,6552.5,0.0
33.0,53.0,0.0,2280.9,6650.5,0.0
34.0,53.0,0.0,2314.9,6650.5,0.0
34.0,54.0,0.0,2314.9,6812.5,0.0
34.0,55.0,0.0,2314.9,7097.5,0.0
34.0,55.0,0.0,2314.9,7097.5,0.0
34.0,56.0,0.0,2314.9,7145.5,0.0
34.0,57.0,0.0,2314.9,7154.6,0.0
34.0,58.0,0.0,2314.9,7694.6,0.0
34.0,59.0,0.0,2314.9,7722.6,0.0
34.0,60.0,0.0,2314.9,7822.6,0.0
34.0,61.0,0.0,2314.9,7822.6,0.0
34.0,62.0,0.0,2314.9,7822.6,0.0
34.0,62.0,0.0,2314.9,8372.6,0.0
35.0,62.0,0.0,2359.9,8372.6,0.0
35.0,63.0,0.0,2359.9,8557.6,0.0
36.0,63.0,0.0,2400.9,8557.6,0.0
37.0,63.0,0.0,2450.9,8557.6,0.0
37.0,64.0,0.0,2450.9,9135.6,0.0
37.0,65.0,0.0,2450.9,9429.6,0.0
38.0,65.0,0.0,3630.9,9429.6,0.0
39.0,65.0,0.0,3678.9,9429.6,0.0
39.0,65.0,0.0,3678.9,9506.6,0.0
40.0,65.0,0.0,3695.9,9506.6,0.0
40.0,66.0,0.0,3695.9,10066.6,0.0
41.0,66.0,0.0,3730.9,10066.6,0.0
42.0,66.0,0.0,3754.9,10066.6,0.0
42.0,67.0,0.0,3754.9,10094.6,0.0
42.0,68.0,0.0,3754.9,10506.6,0.0
43.0,68.0,0.0,4009.9,10506.6,0.0
43.0,69.0,0.0,4009.9,11516.6,0.0
44.0,69.0,0.0,4342.9,11516.6,0.0
45.0,68.0,0.0,4372.9,11416.6,0.0
45.0,69.0,0.0,4372.9,11424.6,0.0
46.0,69.0,0.0,4413.9,11424.6,0.0
46.0,70.0,0.0,4413.9,12087.6,0.0
45.0,71.0,0.0,4372.9,12362.6,0.0
45.0,71.0,0.0,4372.9,12362.6,0.0
45.0,71.0,0.0,4372.9,12362.6,0.0
45.0,72.0,0.0,4372.9,12427.6,0.0
45.0,72.0,0.0,4372.9,12298.6,0.0
45.0,73.0,0.0,4372.9,12598.6,0.0
45.0,73.0,0.0,4372.9,12598.6,0.0
45.0,74.0,0.0,4372.9,13034.6,0.0
45.0,75.0,0.0,4372.9,13132.6,0.0
45.0,76.0,0.0,4372.9,13689.6,0.0
46.0,76.0,0.0,4392.9,13689.6,0.0
47.0,76.0,0.0,4509.9,13689.6,0.0
47.0,77.0,0.0,4509.9,14358.6,0.0
48.0,77.0,0.0,4533.9,14358.6,0.0
48.0,78.0,0.0,4533.9,14445.6,0.0
49.0,78.0,0.0,4538.0,14445.6,0.0
50.0,78.0,0.0,4564.0,14445.6,0.0
50.0,79.0,0.0,4564.0,14591.6,0.0
50.0,80.0,0.0,4564.0,14609.6,0.0
50.0,81.0,0.0,4564.0,14615.7,0.0
51.0,81.0,0.0,4623.0,14615.7,0.0
52.0,81.0,0.0,4643.0,14615.7,0.0
52.0,82.0,0.0,4643.0,14925.7,0.0
52.0,82.0,0.0,4624.0,14925.7,0.0
53.0,82.0,0.0,4674.0,14925.7,0.0
54.0,82.0,0.0,4694.0,14925.7,0.0
55.0,82.0,0.0,4944.0,14925.7,0.0
55.0,83.0,0.0,4944.0,15262.7,0.0
55.0,82.0,0.0,4944.0,15850.7,0.0
56.0,82.0,0.0,5394.0,15850.7,0.0
56.0,83.0,0.0,5394.0,16347.7,0.0
56.0,83.0,0.0,5394.0,16347.7,0.0
57.0,82.0,0.0,5779.0,16010.7,0.0
57.0,81.0,0.0,5779.0,15964.7,0.0
58.0,81.0,0.0,5789.0,15964.7,0.0
58.0,82.0,0.0,5789.0,15978.7,0.0
59.0,82.0,0.0,5823.0,15978.7,0.0
59.0,83.0,0.0,5823.0,16200.7,0.0
60.0,83.0,0.0,5831.5,16200.7,0.0
61.0,83.0,0.0,5832.8,16200.7,0.0
62.0,83.0,0.0,6832.8,16200.7,0.0
63.0,83.0,0.0,6896.8,16200.7,0.0
64.0,83.0,0.0,6933.8,16200.7,0.0
64.0,84.0,0.0,6933.8,16249.7,0.0
65.0,84.0,0.0,6963.8,16249.7,0.0
65.0,85.0,0.0,6963.8,16944.7,0.0
65.0,86.0,0.0,6963.8,18059.7,0.0
66.0,86.0,0.0,6993.8,18059.7,0.0
67.0,86.0,0.0,7173.8,18059.7,0.0
68.0,86.0,0.0,7258.8,18059.7,0.0
68.0,87.0,0.0,7258.8,18059.7,0.0
69.0,86.0,0.0,7310.8,17962.7,0.0
69.0,86.0,0.0,7310.8,17962.7,0.0
69.0,85.0,0.0,7310.8,17186.7,0.0
69.0,84.0,0.0,7310.8,16712.7,0.0
70.0,84.0,0.0,7343.8,16712.7,0.0
68.0,81.0,0.0,7197.8,16343.7,0.0
69.0,81.0,0.0,7215.8,16343.7,0.0
69.0,82.0,0.0,7215.8,16697.7,0.0
69.0,81.0,0.0,7208.8,16686.7,0.0
70.0,81.0,0.0,7213.8,16686.7,0.0
70.0,80.0,0.0,7216.8,16686.7,0.0
70.0,81.0,0.0,7216.8,17698.7,0.0
71.0,81.0,0.0,7246.8,17698.7,0.0
72.0,81.0,0.0,7258.8,17698.7,0.0
72.0,82.0,0.0,7258.8,17698.7,0.0
73.0,82.0,0.0,7460.8,17698.7,0.0
73.0,82.0,0.0,7460.8,17698.7,0.0
73.0,82.0,0.0,7460.8,17698.7,0.0
74.0,82.0,0.0,7479.8,17698.7,0.0
75.0,82.0,0.0,7483.7,17698.7,0.0
76.0,81.0,0.0,7633.7,17684.7,0.0
77.0,81.0,0.0,7641.3,17684.7,0.0
77.0,80.0,0.0,7641.3,17569.7,0.0
78.0,79.0,0.0,7646.2,17471.7,0.0
78.0,80.0,0.0,7646.2,17487.7,0.0
79.0,80.0,0.0,7649.5,17487.7,0.0
79.0,81.0,0.0,7649.5,17496.8,0.0
79.0,81.0,0.0,7673.5,17496.8,0.0
80.0,81.0,0.0,7707.5,17496.8,0.0
81.0,81.0,0.0,7740.5,17496.8,0.0
82.0,81.0,0.0,7802.5,17496.8,0.0
83.0,81.0,0.0,7822.5,17496.8,0.0
84.0,80.0,0.0,7856.5,17472.8,0.0
84.0,81.0,0.0,7856.5,17927.8,0.0
85.0,81.0,0.0,7858.2,17927.8,0.0
85.0,81.0,0.0,7858.2,17938.8,0.0
86.0,81.0,0.0,7892.2,17938.8,0.0
86.0,82.0,0.0,7892.2,17986.8,0.0
86.0,82.0,0.0,7892.2,17986.8,0.0
86.0,81.0,0.0,7892.2,17628.8,0.0
87.0,81.0,0.0,7936.2,17628.8,0.0
88.0,80.0,0.0,7956.2,17287.8,0.0
89.0,80.0,0.0,8492.2,17287.8,0.0
88.0,79.0,0.0,8462.2,17259.8,0.0
89.0,78.0,0.0,8510.2,17211.8,0.0
90.0,78.0,0.0,8538.2,17211.8,0.0
91.0,78.0,0.0,8548.2,17211.8,0.0
92.0,78.0,0.0,8581.2,17211.8,0.0
92.0,79.0,0.0,8581.2,17315.8,0.0
92.0,80.0,0.0,8581.2,17940.8,0.0
93.0,80.0,0.0,8599.2,17940.8,0.0
94.0,80.0,0.0,8784.2,17940.8,0.0
95.0,80.0,0.0,8802.2,17940.8,0.0
95.0,81.0,0.0,8802.2,18120.8,0.0
95.0,82.0,0.0,8802.2,18612.8,0.0
96.0,82.0,0.0,8832.2,18612.8,0.0
95.0,82.0,0.0,8788.2,18554.8,0.0
96.0,80.0,0.0,8821.2,18003.8,0.0
96.0,80.0,0.0,8821.2,18495.8,0.0
96.0,79.0,0.0,8821.2,18003.8,0.0
96.0,80.0,0.0,8821.2,18283.8,0.0
97.0,80.0,0.0,8869.2,18283.8,0.0
98.0,80.0,0.0,8937.2,18283.8,0.0
99.0,79.0,0.0,8962.2,18256.8,0.0
100.0,79.0,0.0,8971.2,18256.8,0.0
101.0,76.0,0.0,9063.2,17461.8,0.0
102.0,76.0,0.0,9102.2,17461.8,0.0
102.0,77.0,0.0,9102.2,18214.8,0.0
103.0,77.0,0.0,9112.1,18214.8,0.0
103.0,78.0,0.0,9112.1,18399.8,0.0
103.0,79.0,0.0,9112.1,18592.8,0.0
104.0,79.0,0.0,9152.1,18592.8,0.0
105.0,79.0,0.0,9161.0,18592.8,0.0
106.0,79.0,0.0,9161.0,18592.8,0.0
